airplane,airname,citycode,cityname,country
WAE,瓦迪达瓦西机场,WAE,瓦抵达达瓦思尔,沙特阿拉伯
EJH,韦吉机场,EJH,韦吉,沙特阿拉伯
YNB,延布机场,YNB,延布,沙特阿拉伯
AJF,沙特约夫机场,AJF,约夫,沙特阿拉伯
BDI,伯德岛机场,BDI,伯德岛,塞舌尔
DEI,丹尼斯岛机场,DEI,丹尼斯岛,塞舌尔
DES,德罗什机场,DES,德罗什,塞舌尔
SEZ,塞舌尔国际机场,SEZ,马埃岛,塞舌尔
PRI,普拉兰岛机场,PRI,普拉兰岛,塞舌尔
AKT,阿克罗蒂里机场,AKT,阿克罗蒂里,塞浦路斯
ECN,厄尔坎机场,ECN,埃尔坎,塞浦路斯
LCA,拉纳卡机场,LCA,拉纳卡,塞浦路斯
NIC,尼科西亚机场,NIC,尼科西亚,塞浦路斯
PFO,帕福斯国际机场,PFO,帕福斯,塞浦路斯
BXE,巴克尔机场,BXE,巴克尔,塞内加尔
DKR,塞内加尔约夫机场,DKR,达喀尔,塞内加尔
ZIG,济金绍尔机场,ZIG,济金绍尔,塞内加尔
BTE,邦特机场,BTE,邦特,塞拉利昂
KBS,博城机场,KBS,博城,塞拉利昂
FNA,伦吉国际机场,FNA,弗里敦,塞拉利昂
HGS,弗里敦机场,FNA,弗里敦,塞拉利昂
BEG,贝尔格莱德机场,BEG,贝尔格莱德,塞尔维亚
PRN,普里什蒂纳机场,PRN,普里什蒂纳,塞尔维亚
INI,尼什机场,INI,,塞尔维亚
SAL,科马拉帕国际机场,SAL,圣萨尔瓦多,萨尔瓦多
ACH,阿尔腾海恩机场,ACH,阿尔腾海恩,瑞士
ACO,阿斯科纳机场,ACO,阿斯科纳,瑞士
EML,埃门机场,EML,埃门,瑞士
BSL,巴塞尔米卢斯弗赖堡机场,EAP,巴塞尔米卢斯弗赖堡,瑞士
BRN,伯尔尼机场,BRN,伯尔尼,瑞士
BXO,布厄克斯机场,BXO,布厄克斯,瑞士
LUG,卢加诺机场,LUG,卢加诺,瑞士
GVA,日内瓦机场,GVA,日内瓦,瑞士
ZRH,苏黎世机场,ZRH,苏黎世,瑞士
SIR,西昂机场,SIR,西昂,瑞士
AJR,阿尔维斯克尔机场,AJR,阿尔维斯克尔,瑞典
EKT,埃斯基尔斯蒂纳机场,EKT,埃斯基尔斯蒂纳,瑞典
OSK,奥斯卡斯哈门机场,OSK,奥斯卡斯哈门,瑞典
PJA,巴佳拉机场,PJA,巴佳拉,瑞典
BLE,达拉机场,BLE,博伦厄法鲁恩,瑞典
ORB,厄勒布鲁机场,ORB,厄勒布鲁,瑞典
OSD,弗洛埃索厄机场,OSD,厄斯特松德,瑞典
OER,恩舍尔兹维克机场,OER,恩舍尔兹维克,瑞典
GOT,哥德堡机场,GOT,哥德堡,瑞典
HAD,哈尔姆斯塔德机场,HAD,哈尔姆斯塔德,瑞典
HFS,哈格福什机场,HFS,哈格福什,瑞典
AGH,恩厄尔霍尔姆机场,AGH,赫尔辛堡,瑞典
HMV,赫玛旺机场,HMV,赫玛旺,瑞典
HLF,胡尔茨弗雷德机场,HLF,胡尔茨弗雷德,瑞典
KRN,基律纳机场,KRN,基律纳,瑞典
KLR,卡尔马机场,KLR,卡尔马,瑞典
KSK,卡尔斯库加机场,KSK,卡尔斯库加,瑞典
KSD,卡尔斯塔德机场,KSD,卡尔斯塔德,瑞典
KRF,克拉姆福什机场,KRF,克拉姆福什,瑞典
KID,克里斯蒂安斯塔德机场,KID,克里斯蒂安斯塔德,瑞典
LPI,林雪平机场,LPI,林彻平,瑞典
RNB,卡林格机场,RNB,龙讷比,瑞典
LYC,吕克瑟勒机场,LYC,吕克瑟勒,瑞典
LLA,吕勒奥机场,LLA,吕勒奥,瑞典
MMX,斯图鲁普机场,MMA,马尔默,瑞典
MXX,穆拉机场,MXX,穆拉,瑞典
NRK,库恩桑根机场,NRK,诺尔雪平,瑞典
JKG,荣彻平机场,JKG,荣彻平,瑞典
SOO,瑟德港机场,SOO,瑟德港,瑞典
KVB,舍夫德机场,KVB,舍夫德,瑞典
VST,斯德哥尔摩-韦斯特罗斯机场,STO,斯德哥尔摩,瑞典
NYO,斯卡夫斯塔机场,STO,斯德哥尔摩,瑞典
ARN,阿兰达机场,STO,斯德哥尔摩,瑞典
BMA,布罗马机场,STO,斯德哥尔摩,瑞典
SFT,斯克尔弗特机场,SFT,斯克尔弗特,瑞典
SQO,斯托鲁曼机场,SQO,斯托鲁曼,瑞典
EVG,斯韦格机场,EVG,斯韦格,瑞典
SDL,松兹瓦尔机场,SDL,松兹瓦尔,瑞典
THN,特罗尔海坦机场,THN,特罗尔海坦,瑞典
TYF,托斯比机场,TYF,托斯比,瑞典
VHM,威廉敏娜机场,VHM,威廉敏娜,瑞典
VXO,韦克舍机场,VXO,韦克舍,瑞典
VBY,维斯比机场,VBY,维斯比,瑞典
GEV,耶利瓦勒机场,GEV,耶利瓦勒,瑞典
UME,于默奥机场,UME,于默奥,瑞典
OKI,奥基岛机场,OKI,奥基岛,日本
OIR,奥尻机场,OIR,奥尻,日本
HAC,八丈岛机场,HAC,八丈岛,日本
KTD,北大东港机场,KTD,北大东港,日本
KKJ,小仓机场,KKJ,北九州,日本
BPU,别府机场,BPU,别府,日本
HTR,波照间机场,HTR,波照间,日本
OKA,冲绳机场,OKA,冲绳,日本
OKE,冲永良部机场,OKE,冲永良部,日本
IZO,出云机场,IZO,出云,日本
KUH,钏路机场,KUH,钏路,日本
IBR,茨城机场,IBR,茨城,日本
ITM,伊丹机场,OSA,大阪,日本
KIX,关西国际机场,OSA,大阪,日本
OIM,大岛机场,OIM,大岛,日本
OIT,大分机场,OIT,大分,日本
ONJ,大馆能代机场,ONJ,大馆能代,日本
OBO,带广机场,OBO,带广,日本
TKS,德岛机场,TKS,德岛,日本
TKN,德之岛机场,TKN,德之岛,日本
MBE,纹别机场,MBE,登别,日本
NRT,成田机场,TYO,东京,日本
HND,羽田机场,TYO,东京,日本
TSJ,对马机场,TSJ,对马,日本
TRA,多良间岛机场,TRA,多良间岛,日本
FKS,福岛机场,FKS,福岛,日本
FUK,福冈机场,FUK,福冈,日本
FUJ,福江机场,FUJ,福江,日本
TOY,富山机场,TOY,富山,日本
OKJ,冈山机场,OKJ,冈山,日本
TAK,高松机场,TAK,高松,日本
KCZ,高知机场,KCZ,高知,日本
MMY,宫古机场,MMY,宫古,日本
KMI,宫崎机场,KMI,宫崎,日本
HIJ,广岛机场,HIJ,广岛,日本
HKD,函馆机场,HKD,函馆,日本
FSZ,静冈机场,FSZ,静冈,日本
UEO,久米岛机场,UEO,久米岛,日本
KJP,卡拉马机场,KJP,卡拉马,日本
RIS,利尻机场,RIS,利尻,日本
KOJ,鹿儿岛机场,KOJ,鹿儿岛,日本
NTQ,诺特机场,NTQ,轮岛,日本
YGJ,美秀机场,YGJ,米子,日本
NKM,名古屋机场,NGO,名古屋,日本
NGO,中部航空国际机场,NGO,名古屋,日本
MMD,南大东岛机场,MMD,南大东岛,日本
SHM,南纪白浜机场,SHM,南纪白浜,日本
TTJ,鸟取机场,TTJ,鸟取,日本
MMB,女满别机场,MMB,女满别,日本
AOJ,青森机场,AOJ,青森,日本
AXT,秋田机场,AXT,秋田,日本
MYE,三安岛机场,MYE,三安岛,日本
MSJ,三泽机场,MSJ,三泽,日本
GAJ,山形机场,GAJ,山形,日本
UKB,神户机场,UKB,神户,日本
HNA,盛冈机场,HNA,盛冈,日本
IWJ,石见机场,IWJ,石见,日本
ISG,石垣机场,ISG,石垣,日本
MMJ,松本机场,MMJ,松本,日本
MYJ,松山机场,MYJ,松山,日本
AGJ,粟国岛机场,AGJ,粟国岛,日本
KUM,屋久岛机场,KUM,屋久岛,日本
KKX,喜界岛机场,KKX,喜界岛,日本
SDJ,仙台机场,SDJ,仙台,日本
KMQ,小松机场,KMQ,小松,日本
KIJ,新泻机场,KIJ,新泻,日本
KMJ,熊本机场,KMJ,熊本,日本
AKJ,旭川国际机场,AKJ,旭川,日本
ASJ,奄美大岛机场,ASJ,奄美大岛,日本
IKI,壹歧机场,IKI,壹歧,日本
RNJ,舆论岛机场,RNJ,与论岛,日本
OGN,与那国岛机场,OGN,与那国岛,日本
UBJ,宇部机场,UBJ,宇部,日本
RBJ,扎文机场,RBJ,扎文,日本
CTS,新千岁国际机场,SPK,札幌,日本
NGS,长崎机场,NGS,长崎,日本
TJH,长野机场,TJH,长野,日本
WKJ,稚内机场,WKJ,稚内,日本
SHB,根室中标津机场,SHB,中标津,日本
TNE,种子岛机场,TNE,种子岛,日本
SYO,庄内机场,SYO,庄内,日本
HSG,佐贺机场,HSG,佐贺,日本
HOR,奥尔塔机场,HOR,奥尔塔,葡萄牙
OPO,波尔图机场,OPO,波尔图,葡萄牙
BGC,布拉干萨机场,BGC,布拉干萨,葡萄牙
BGZ,布拉加机场,BGZ,布拉加,葡萄牙
FAO,法鲁机场,FAO,法鲁,葡萄牙
FNC,马德拉机场,FNC,丰沙尔,葡萄牙
FLW,弗洛雷斯岛机场,FLW,弗洛雷斯岛,葡萄牙
GRW,格拉西奥萨机场,GRW,格拉西奥萨,葡萄牙
CVU,科尔武岛机场,CVU,科尔武岛,葡萄牙
COV,科维良机场,COV,科维良,葡萄牙
CBP,科英布拉机场,CBP,科英布拉,葡萄牙
VRL,雷加尔城机场,VRL,雷加尔城,葡萄牙
LIS,里斯本机场,LIS,里斯本,葡萄牙
PDL,蓬塔德尔加达机场,PDL,蓬塔德尔加达,葡萄牙
PIX,皮克岛机场,PIX,皮克岛,葡萄牙
CHV,沙维什机场,CHV,沙维什,葡萄牙
PXO,圣港机场,PXO,圣港,葡萄牙
SMA,维拉多博尔托机场,SMA,圣玛丽亚岛,葡萄牙
SJZ,圣约格岛机场,SJZ,圣约格岛,葡萄牙
TER,特尔赛拉岛机场,TER,特尔赛拉岛,葡萄牙
ROR,帕劳国际机场,ROR,科罗尔,帕劳群岛
ALF,阿尔塔机场,ALF,阿尔塔,挪威
EVE,埃沃内斯机场,EVE,埃沃内斯,挪威
ANX,安德内斯机场,ANX,安德内斯,挪威
AES,维格拉机场,AES,奥勒松,挪威
OSL,奥斯陆机场,OSL,奥斯陆,挪威
RYG,奥斯陆立格机场,OSL,奥斯陆,挪威
BDU,巴尔杜福斯机场,BDU,巴尔杜福斯,挪威
BGO,卑尔根机场,BGO,卑尔根,挪威
BVG,贝勒沃格机场,BVG,贝勒沃格,挪威
BJF,博茨菲尤尔机场,BJF,博茨菲尤尔,挪威
BOO,博多机场,BOO,博德,挪威
BNN,布劳塔伊森德机场,BNN,布劳塔伊森德,挪威
HOV,厄斯塔伏尔达机场,HOV,厄斯塔伏尔达,挪威
VDB,法格尼斯机场,VDB,法格尼斯,挪威
FDE,弗勒机场,FDE,弗勒,挪威
FRO,弗卢勒机场,FRO,弗卢勒,挪威
HFT,哈默菲斯特机场,HFT,哈默菲斯特,挪威
HAA,哈斯维克机场,HAA,哈斯维克,挪威
HAU,海于格松机场,HAU,海于格生德,挪威
HVG,霍宁斯沃格机场,HVG,霍宁斯沃格,挪威
KRS,凯捷维克机场,KRS,克里斯蒂安桑,挪威
KSU,科维恩伯格特机场,KSU,克里斯蒂安松,挪威
LKL,拉克塞尔夫机场,LKL,拉克塞尔夫,挪威
LKN,莱克内斯机场,LKN,莱克内斯,挪威
LYR,斯瓦尔巴德机场,LYR,朗伊尔城,挪威
RRS,勒罗斯机场,RRS,勒罗斯,挪威
RVK,罗尔维克机场,RVK,罗尔维克,挪威
RET,罗斯特岛机场,RET,罗斯特岛,挪威
QFQ,玛洛伊机场,QFQ,玛洛伊,挪威
MEH,梅港机场,MEH,梅港,挪威
MQN,摩城机场,MQN,摩城,挪威
MOL,阿洛机场,MOL,莫尔德,挪威
MJF,莫舍恩机场,MJF,莫舍恩,挪威
NVK,纳尔维克机场,NVK,纳尔维克,挪威
OSY,纳姆索斯机场,OSY,纳姆索斯,挪威
SDN,三丹机场,SDN,三丹,挪威
SSJ,桑内舍恩机场,SSJ,桑内舍恩,挪威
QFK,瑟尔杰机场,QFK,瑟尔杰,挪威
TRF,桑德菲尧德机场,TRF,山达霍得,挪威
SVG,斯塔万格机场,SVG,斯塔万格,挪威
SKN,斯卡恩机场,SKN,斯特玛科尼斯,挪威
SRP,斯图尔机场,SRP,斯图尔,挪威
SVJ,斯沃尔维尔机场,SVJ,斯沃尔维尔,挪威
SOG,松达尔机场,SOG,松达尔,挪威
SOJ,松克罗森机场,SOJ,松克罗森,挪威
TRD,特隆赫姆机场,TRD,特隆赫姆,挪威
TOS,特罗姆瑟机场,TOS,特罗姆瑟,挪威
VDS,瓦得索机场,VDS,瓦得索,挪威
VAW,瓦尔多伊机场,VAW,瓦尔多伊,挪威
VRY,瓦尔欧伊机场,VRY,瓦尔欧伊,挪威
SKE,希恩机场,SKE,希恩,挪威
KKN,霍布克特莫恩机场,KKN,希尔克内斯,挪威
DLD,耶卢机场,DLD,耶卢,挪威
IUE,纽埃岛机场,IUE,纽埃岛,纽埃
ABV,阿布贾机场,ABV,阿布贾,尼日利亚
AKR,阿库雷机场,AKR,阿库雷,尼日利亚
BCU,包齐机场,BCU,包齐,尼日利亚
BNI,贝宁城机场,BNI,贝宁城,尼日利亚
PHC,哈科特港机场,PHC,哈科特港,尼日利亚
KAD,卡杜纳机场,KAD,卡杜纳,尼日利亚
CBQ,卡拉巴尔机场,CBQ,卡拉巴尔,尼日利亚
KAN,卡诺机场,KAN,卡诺,尼日利亚
LOS,拉各斯机场,LOS,拉各斯,尼日利亚
SKO,索科托机场,SKO,奈及利亚,尼日利亚
QRW,瓦利机场,QRW,瓦利,尼日利亚
IBA,伊巴丹机场,IBA,伊巴丹,尼日利亚
AJY,阿加德兹机场,AJY,阿加德兹,尼日尔
BKN,伯尔尼恩孔尼机场,BKN,伯尔尼恩孔尼,尼日尔
NIM,尼亚美机场,NIM,尼亚美,尼日尔
BZA,博南萨机场,BZA,博南萨,尼加拉瓜
BEF,布鲁菲尔茨机场,BEF,布鲁菲尔茨,尼加拉瓜
MGA,马那瓜机场,MGA,马那瓜,尼加拉瓜
BDP,巴德拉坡机场,BDP,巴德拉坡,尼泊尔
BGL,巴格隆机场,BGL,巴格隆,尼泊尔
BJU,巴茹拉机场,BJU,巴茹拉,尼泊尔
BJH,巴章机场,BJH,巴章,尼泊尔
BWA,拜尔瓦机场,BWA,拜尔瓦,尼泊尔
BIT,拜塔蒂机场,BIT,拜塔蒂,尼泊尔
BIR,比拉特纳加尔机场,BIR,比拉特纳加尔,尼泊尔
BHP,博基布尔机场,BHP,博基布尔,尼泊尔
PKR,博克拉机场,PKR,博克拉,尼泊尔
KTM,特里布胡凡机场,KTM,加德满都,尼泊尔
JKR,贾纳克普尔机场,JKR,贾纳克普尔,尼泊尔
LUA,卢克拉机场,LUA,卢克拉,尼泊尔
NGX,马兰机场,NGX,马兰,尼泊尔
KEP,尼泊尔根杰机场,KEP,尼泊尔根杰,尼泊尔
BHR,珀勒特普尔机场,BHR,珀勒特普尔,尼泊尔
JMO,乔姆松机场,JMO,乔姆松,尼泊尔
MWP,山岳县机场,MWP,山岳县,尼泊尔
SIF,锡马拉机场,SIF,神马,尼泊尔
TMI,土姆林塔尔机场,TMI,土姆林塔尔,尼泊尔
INU,瑙鲁岛机场,INU,瑙鲁岛,瑙鲁
ADY,阿尔代斯机场,ADY,阿尔代斯,南非
AGZ,阿根内斯机场,AGZ,阿根内斯,南非
UTN,阿平顿机场,UTN,阿平顿,南非
PZB,彼得马里茨堡机场,PZB,彼得马里茨堡,南非
PTG,波洛机场,PTG,彼得斯堡,南非
BIY,毕晓机场,BIY,毕晓,南非
BFN,布隆方舟机场,BFN,布隆方舟,南非
VIR,维吉尼亚机场,DUR,德班,南非
DUR,路易斯波萨机场,DUR,德班,南非
ELS,东伦敦机场,ELS,东伦敦,南非
KIM,金伯利机场,KIM,金伯利,南非
CPT,开普敦机场,CPT,开普敦,南非
KLZ,克莱因齐机场,KLZ,克莱因齐,南非
RCB,理查德湾机场,RCB,理查德湾,南非
NLP,内尔斯普雷特机场,NLP,内尔斯普雷特,南非
PHW,帕拉博鲁瓦机场,PHW,帕拉博鲁瓦,南非
PBZ,普莱藤贝格机场,PBZ,普莱藤贝格,南非
GRJ,乔治城机场,GRJ,乔治,南非
SZK,斯库库剌机场,SZK,斯库库剌,南非
SBU,跳羚机场,SBU,斯普林博克,南非
NTY,太阳城机场,NTY,太阳城,南非
ULD,乌伦迪机场,ULD,乌伦迪,南非
UTT,乌姆塔塔机场,UTT,乌姆塔塔,南非
HDS,希兹伯瑞特机场,HDS,希兹伯瑞特,南非
ALJ,亚历山大湾机场,ALJ,亚历山大湾,南非
PLZ,伊丽莎白港机场,PLZ,伊丽莎白港,南非
QRA,兰德尔米斯顿机场,JNB,约翰内斯堡,南非
GCJ,约翰内斯堡格兰德中心机场,JNB,约翰内斯堡,南非
JNB,约翰内斯堡机场,JNB,约翰内斯堡,南非
ADI,阿兰迪斯机场,ADI,阿兰迪斯,纳米比亚
AIW,埃埃斯机场,AIW,埃埃斯,纳米比亚
OMD,奥兰治蒙德机场,OMD,奥兰治蒙德,纳米比亚
BQI,巴感尼机场,BQI,巴感尼,纳米比亚
WVB,卢伊科普机场,WVB,鲸湾港,纳米比亚
LHU,卡普里维机场,LHU,卡普里维,纳米比亚
RHN,纳米比亚罗什平纳机场,RHN,罗什平纳,纳米比亚
LUD,吕德里茨机场,LUD,吕德里茨,纳米比亚
OKU,莫库蒂洛基机场,OKU,莫库蒂洛基,纳米比亚
MPA,姆巴查机场,MPA,姆巴查,纳米比亚
SWP,斯瓦科普蒙得机场,SWP,斯瓦科普蒙德,纳米比亚
WDH,霍希库塔科国际机场,WDH,温得和克,纳米比亚
ERS,温得和克机场,WDH,温得和克,纳米比亚
OND,翁旦格瓦机场,OND,翁丹瓜,纳米比亚
AJS,阿布雷奥约斯机场,AJS,阿布雷奥约斯,墨西哥
AGU,阿瓜斯卡连特斯机场,AGU,阿瓜斯卡连特斯,墨西哥
ACA,阿卡普尔科国际机场,ACA,阿卡普尔科,墨西哥
AZG,阿帕钦甘机场,AZG,阿帕钦甘,墨西哥
HMO,根珀斯克拉－加西亚机场,HMO,埃莫西约,墨西哥
PXM,埃斯康德港机场,PXM,埃斯孔迪多港,墨西哥
BHL,巴海安吉尔斯机场,BHL,巴海安吉尔斯,墨西哥
PVR,奥达兹机场,PVR,巴亚尔塔港,墨西哥
VSA,卡皮坦－卡洛斯佩雷兹机场,VSA,比亚埃尔莫萨,墨西哥
PAZ,塔金机场,PAZ,波萨里卡德伊达尔戈,墨西哥
TIJ,罗德里格兹机场,TIJ,蒂华纳,墨西哥
DGO,瓜达卢普-维多利亚机场,DGO,杜兰戈,墨西哥
ESE,恩塞纳达机场,ESE,恩森那达,墨西哥
GUB,格雷罗内洛罗机场,GUB,格雷罗内洛罗,墨西哥
GDL,米盖尔希达尔机场,GDL,瓜达拉哈拉,墨西哥
GYM,瓜伊马斯机场,GYM,瓜伊马斯,墨西哥
JAL,哈拉帕机场,JAL,哈拉帕,墨西哥
CJS,华雷兹城国际机场,CJS,华雷斯城,墨西哥
CME,卡门城机场,CME,卡门城,墨西哥
CUN,坎昆机场,CUN,坎昆,墨西哥
CPE,坎佩切国际机场,CPE,坎佩切,墨西哥
CLQ,科利马机场,CLQ,科利马,墨西哥
CJT,科米坦机场,CJT,科米坦,墨西哥
CZM,科苏梅尔机场,CZM,科苏梅尔,墨西哥
QRO,奎雷塔罗机场,QRO,克雷塔罗,墨西哥
CVJ,库埃纳瓦卡机场,CVJ,库埃纳瓦卡,墨西哥
CUL,费德尔迪-巴奇瓜拉托机场,CUL,库利阿坎,墨西哥
LAP,墨西哥莱昂机场,LAP,拉巴斯,墨西哥
LZC,拉萨罗-卡德纳斯机场,LZC,拉萨罗卡德纳勒,墨西哥
BJX,德尔巴乔机场,BJX,莱昂,墨西哥
REX,根卢西奥-布兰科机场,REX,雷诺萨,墨西哥
LTO,洛雷托机场,LTO,洛雷托,墨西哥
LMM,费德拉尔机场,LMM,洛斯莫奇斯,墨西哥
MZT,拉法尔布埃尔纳将军机场,MZT,马萨特兰,墨西哥
MAM,马塔莫罗斯机场,MAM,马塔莫罗斯,墨西哥
ZLO,曼萨尼约机场,ZLO,曼萨尼约,墨西哥
MID,雷约恩机场,MID,梅里达,墨西哥
LOV,蒙克洛瓦机场,LOV,蒙克洛瓦,墨西哥
MTY,蒙特雷国际机场,MTY,蒙特雷,墨西哥
NTR,德尔诺特机场,MTY,蒙特雷,墨西哥
MTT,米纳蒂特兰机场,MTT,米纳蒂特兰,墨西哥
MLM,莫雷利亚机场,MLM,莫雷利亚,墨西哥
MEX,胡阿雷兹国际机场,MEX,墨西哥城,墨西哥
MXL,墨西卡利机场,MXL,墨西卡利,墨西哥
PDS,内格拉斯机场,PDS,内格拉斯,墨西哥
CEN,奥夫雷贡城机场,CEN,欧布雷贡城,墨西哥
PBC,韦约钦格机场,PBC,普埃布拉,墨西哥
CZA,奇琴伊察机场,CZA,奇琴伊察,墨西哥
CUU,根费罗-维拉罗博斯机场,CUU,奇瓦瓦,墨西哥
CTM,切图马尔机场,CTM,切图马尔,墨西哥
SLW,萨尔蒂洛机场,SLW,萨尔蒂约,墨西哥
ZCL,拉卡勒拉机场,ZCL,萨卡特卡斯 ,墨西哥
SCX,萨利纳克鲁岛机场,SCX,萨利纳克鲁岛,墨西哥
SJD,圣约瑟卡博机场,SJD,圣荷西,墨西哥
SZT,圣克里斯托佛市机场,SZT,圣克里斯托佛市,墨西哥
HUX,瓦图尔科机场,HUX,圣克鲁斯华图考,墨西哥
SLP,圣路易斯波托西机场,SLP,圣路易斯波托西,墨西哥
TAP,塔帕丘拉国际机场,TAP,塔帕丘拉,墨西哥
TAM,根雅维尔米纳机场,TAM,坦皮科,墨西哥
TPQ,特皮克机场,TPQ,特皮克,墨西哥
TGZ,拉诺圣胡安机场,TGZ,图斯特拉古铁雷斯,墨西哥
TRC,托雷翁机场,TRC,托雷翁,墨西哥
TLC,托卢卡机场,TLC,托卢卡,墨西哥
OAX,肖肖克特兰机场,OAX,瓦哈卡,墨西哥
VER,拉斯巴贾达斯机场,VER,韦拉克鲁斯,墨西哥
CVM,维多利亚城机场,CVM,维多利亚城,墨西哥
UPN,乌卢阿潘机场,UPN,乌卢阿潘,墨西哥
NLD,奎特扎尔克特尔国际机场,NLD,新拉莱多,墨西哥
ZIH,伊斯塔巴-西华达内荷国际机场,ZIH,印坦巴,墨西哥
BJN,巴扬内机场,BJN,巴扬内,莫桑比克
BZB,巴扎鲁托岛机场,BZB,巴扎鲁托岛,莫桑比克
BEW,贝拉机场,BEW,贝拉,莫桑比克
BCW,本格拉岛机场,BCW,本格拉岛,莫桑比克
UEL,克利马内机场,UEL,克利马内,莫桑比克
VXC,利辛加机场,VXC,利辛加,莫桑比克
MPM,马普托国际机场,MPM,马普托,莫桑比克
APL,卢姆波机场,APL,楠普拉,莫桑比克
POL,彭巴机场,POL,彭巴,莫桑比克
AME,上莫洛奎机场,AME,上莫洛奎,莫桑比克
TET,马通多机场,TET,太特,莫桑比克
VNX,维兰库卢什机场,VNX,维兰库卢什,莫桑比克
MCM,蒙特卡洛机场,MCM,蒙特卡洛,摩纳哥公国
AHU,阿尔荷塞马机场,AHU,阿尔荷塞马,摩洛哥
AGA,阿加迪尔机场,AGA,阿加迪尔,摩洛哥
VIL,达赫拉机场,VIL,达赫拉,摩洛哥
TNG,丹吉尔机场,TNG,丹吉尔,摩洛哥
TTU,得土安机场,TTU,得土安,摩洛哥
FEZ,非斯机场,FEZ,非斯,摩洛哥
CMN,穆罕默德机场,CAS,卡萨布兰卡,摩洛哥
CAS,安法机场,CAS,卡萨布兰卡,摩洛哥
RBA,拉巴特－塞拉国际机场,RBA,拉巴特,摩洛哥
RAK,马拉喀什－迈纳拉国际机场,RAK,马拉喀什,摩洛哥
NDR,纳组尔机场,NDR,纳祖尔,摩洛哥
EUN,哈桑机场,EUN,欧云,摩洛哥
ESU,索维拉机场,ESU,索维拉,摩洛哥
OZZ,瓦尔扎扎特机场,OZZ,瓦尔扎扎特,摩洛哥
OUD,乌杰达机场,OUD,乌杰达,摩洛哥
BZY,贝尔齐机场,BZY,伯尔兹,摩尔多瓦
KIV,基希讷乌机场,KIV,基希讷乌,摩尔多瓦
BMO,八莫机场,BMO,八莫,缅甸
BSX,伯赛恩机场,BSX,伯赛恩 ,缅甸
HEH,黑赫机场,HEH,黑赫,缅甸
KMV,吉灵庙机场,KMV,吉灵庙,缅甸
KYP,皎漂机场,KYP,皎漂,缅甸
KAW,高当机场,KAW,景东,缅甸
KET,景栋机场,KET,景栋,缅甸
KHM,卡姆提机场,KHM,卡姆提,缅甸
LSH,腊戌机场,LSH,腊戍,缅甸
LIW,垒固机场,LIW,垒固,缅甸
NYU,良乌机场,NYU,良乌,缅甸
MDL,曼德勒机场,MDL,曼德勒,缅甸
MGZ,丹老机场,MGZ,美克,缅甸
MOG,孟萨机场,MOG,孟萨,缅甸
MYT,密支那机场,MYT,密支那,缅甸
MNU,木淡棉机场,MNU,木淡棉,缅甸
NYT,内比都机场,NYT,内比都,缅甸
PBU,葡萄机场,PBU,葡萄,缅甸
SNW,桑德维机场,SNW,桑德维,缅甸
AKY,实兑机场,AKY,实兑,缅甸
THL,塔基雷克机场,THL,塔基雷克,缅甸
TVY,土瓦机场,TVY,土瓦,缅甸
RGN,仰光机场,RGN,仰光,缅甸
PNI,波恩佩机场,PNI,波纳佩,密克罗尼西亚
KSA,科斯雷机场,KSA,科斯雷,密克罗尼西亚
TKK,特鲁克机场,TKK,塔克岛,密克罗尼西亚
YAP,雅浦群岛机场,YAP,雅浦群岛,密克罗尼西亚
ALD,阿莱尔塔机场,ALD,阿莱尔塔,秘鲁
AQP,阿雷基帕机场,AQP,阿雷基帕,秘鲁
AYP,秘鲁阿亚库乔机场,AYP,阿亚库乔,秘鲁
ANS,安达韦拉斯机场,ANS,安达韦拉斯,秘鲁
BLP,贝亚维斯塔机场,BLP,贝亚维斯塔,秘鲁
TPP,迪拉伯土机场,TPP,迪拉伯土,秘鲁
JJI,胡安惠机场,JJI,胡安惠,秘鲁
JUL,胡利亚卡机场,JUL,胡利亚卡,秘鲁
CJA,卡哈马尔卡机场,CJA,卡哈马尔卡,秘鲁
CUZ,库斯科机场,CUZ,库斯科,秘鲁
LIM,利马国际机场,LIM,利马,秘鲁
PEM,马尔多那多港机场,PEM,马尔多纳多港,秘鲁
PIU,皮乌拉机场,PIU,皮乌拉,秘鲁
PCL,普卡尔帕机场,PCL,普卡尔帕,秘鲁
CIX,奇克拉约机场,CIX,奇克拉约,秘鲁
TCQ,塔克纳机场,TCQ,塔克纳,秘鲁
TRU,特鲁希略机场,TRU,特鲁希略,秘鲁
TBP,土比斯机场,TBP,土比斯,秘鲁
HUU,瓦努科机场,HUU,瓦努科,秘鲁
IQT,伊基托斯机场,IQT,伊基托斯,秘鲁
BZL,巴里萨尔机场,BZL,巴里萨尔,孟加拉
DAC,达卡机场,DAC,达卡,孟加拉
CGP,吉大港机场,CGP,吉大港,孟加拉
JSR,杰索尔机场,JSR,杰索尔,孟加拉
CXB,科克斯巴扎尔机场,CXB,科克斯巴扎尔,孟加拉
RJH,拉杰沙希机场,RJH,拉杰沙希,孟加拉
SPD,赛义德布尔机场,SPD,赛义德布尔,孟加拉
ZYL,锡尔赫特机场,ZYL,锡尔赫特,孟加拉
AVK,阿尔拜赫雷机场,AVK,阿尔拜赫雷,蒙古
LTI,阿尔泰机场,LTI,阿尔泰,蒙古
BYN,巴颜洪格尔机场,BYN,巴颜洪格尔,蒙古
UGA,布拉干机场,UGA,布拉干,蒙古
